metric,model_1,model_2,mean_diff,t_statistic,p_value,significant,cohens_d
silhouette,Basic VAE,Conv VAE,-0.02739178637663526,-1.0798891035875053,0.30554795402372953,False,-0.6829818375468051
silhouette,Basic VAE,Beta-VAE,0.0072997301661719485,3.3611372381932374,0.007228467258377703,True,2.125769840219704
silhouette,Basic VAE,CVAE-Language,0.002617438013354933,1.5348534829495497,0.15582981720543615,False,0.9707265761525979
silhouette,Basic VAE,CVAE-Genre,0.0010460946553697142,0.5505235623718522,0.5940440405194539,False,0.34818167253696436
silhouette,Basic VAE,VaDE,0.0027520786194751325,1.7474104584422814,0.11114546758062686,False,1.1051594111753225
silhouette,Basic VAE,Multimodal VAE,0.0018595915753394157,1.0272458920530159,0.3285110004979832,False,0.6496873471877982
silhouette,Conv VAE,Beta-VAE,0.03469151654280721,1.3670188526264389,0.20156137154024065,False,0.8645786357379194
silhouette,Conv VAE,CVAE-Language,0.030009224389990194,1.1841770847185,0.26372557244148265,False,0.7489393481377262
silhouette,Conv VAE,CVAE-Genre,0.028437881032004973,1.121557910720946,0.28825958552978614,False,0.7093355051315937
silhouette,Conv VAE,VaDE,0.030143864996110395,1.1898863560212551,0.26157372913793026,False,0.7525502083570347
silhouette,Conv VAE,Multimodal VAE,0.029251377951974675,1.15394074675646,0.27535745112005705,False,0.729816208925194
silhouette,Beta-VAE,CVAE-Language,-0.004682292152817015,-2.4944209584176082,0.03174885200796424,True,-1.5776103343719599
silhouette,Beta-VAE,CVAE-Genre,-0.006253635510802234,-3.0420418075352997,0.012419225115032044,True,-1.9239561698534229
silhouette,Beta-VAE,VaDE,-0.004547651546696816,-2.5846358545520647,0.027199126038430693,True,-1.6346672445040407
silhouette,Beta-VAE,Multimodal VAE,-0.005440138590832533,-2.757396389824413,0.020219941866222942,True,-1.7439306007541362
silhouette,CVAE-Language,CVAE-Genre,-0.001571343357985219,-1.0106231158925445,0.336024787363021,False,-0.6391741804473504
silhouette,CVAE-Language,VaDE,0.00013464060612019928,0.11867087203231597,0.9078861218026587,False,0.07505404950809866
silhouette,CVAE-Language,Multimodal VAE,-0.0007578464380155175,-0.5249838404517726,0.6110348768089592,False,-0.33202893412200823
silhouette,CVAE-Genre,VaDE,0.0017059839641054182,1.2094074737547096,0.2543219718680591,False,0.7648964472590387
silhouette,CVAE-Genre,Multimodal VAE,0.0008134969199697015,0.48734284382440274,0.6365217861358028,False,0.30822267757376726
silhouette,VaDE,Multimodal VAE,-0.0008924870441357168,-0.693506286176016,0.5037812577536285,False,-0.4386118871921509
ari,Basic VAE,Conv VAE,1.7819336993533854e-05,0.006125607713790444,0.9952329821567496,False,0.0038741744856549245
ari,Basic VAE,Beta-VAE,0.0037478950940322666,0.9154597127965786,0.38149576074730673,False,0.5789875597121562
ari,Basic VAE,CVAE-Language,0.005193031701891817,2.1982580033081804,0.052595906751051934,False,1.3903004350295614
ari,Basic VAE,CVAE-Genre,-0.0067400108762921815,-1.7506361089107603,0.11056710716208439,False,-1.107199491658519
ari,Basic VAE,VaDE,-0.000496718997563916,-0.12189763844307175,0.9053948880510416,False,-0.07709483577516162
ari,Basic VAE,Multimodal VAE,-0.00039314997449859984,-0.11696559229093989,0.9092031127320798,False,-0.07397553590200041
ari,Conv VAE,Beta-VAE,0.003730075757038733,0.9357360770821157,0.3714554804593211,False,0.5918114584740742
ari,Conv VAE,CVAE-Language,0.005175212364898283,2.3846233051946015,0.03830877678294832,True,1.5081682011867543
ari,Conv VAE,CVAE-Genre,-0.006757830213285716,-1.8092051097782238,0.10053254530556459,False,-1.1442417802628315
ari,Conv VAE,VaDE,-0.0005145383345574498,-0.12971736022047425,0.899362169147131,False,-0.08204046207224402
ari,Conv VAE,Multimodal VAE,-0.0004109693114921337,-0.12726940603688416,0.9012500007959403,False,-0.0804922399066675
ari,Beta-VAE,CVAE-Language,0.00144513660785955,0.4006764180580925,0.6970850880274124,False,0.25341001715627837
ari,Beta-VAE,CVAE-Genre,-0.010487905970324448,-2.223395914827053,0.05040362393753152,False,-1.406199046233445
ari,Beta-VAE,VaDE,-0.004244614091596183,-0.8658396596853176,0.406871398256625,False,-0.5476050826221343
ari,Beta-VAE,Multimodal VAE,-0.004141045068530866,-0.9569483784429949,0.36115599372507023,False,-0.6052272958169277
ari,CVAE-Language,CVAE-Genre,-0.011933042578183999,-3.586473151277103,0.004958068875765098,True,-2.268284785015454
ari,CVAE-Language,VaDE,-0.005689750699455733,-1.5870869080936816,0.1435765445429831,False,-1.003761894842071
ari,CVAE-Language,Multimodal VAE,-0.005586181676390417,-2.033599784493131,0.06938590513381478,False,-1.2861614336451714
ari,CVAE-Genre,VaDE,0.006243291878728265,1.3282232335415964,0.2136201758458805,False,0.8400421318290398
ari,CVAE-Genre,Multimodal VAE,0.006346860901793582,1.5490372574460674,0.1524147624696726,False,0.9796971827980385
ari,VaDE,Multimodal VAE,0.00010356902306531612,0.02403404896054862,0.9812982805934085,False,0.015200467222267191
nmi,Basic VAE,Conv VAE,-0.009653303061802898,-1.319261092619981,0.2164898937535298,False,-0.8343739762242985
nmi,Basic VAE,Beta-VAE,0.004192684761367882,0.6755498013625006,0.5146439351946344,False,0.4272552090359643
nmi,Basic VAE,CVAE-Language,0.005553560824630165,1.3007507034563408,0.22251842286230664,False,0.822666978197658
nmi,Basic VAE,CVAE-Genre,-0.007281020038448532,-1.1296858207518732,0.28497765653916746,False,-0.7144760467945257
nmi,Basic VAE,VaDE,-0.0033760982405101198,-0.4938840893131531,0.6320554948138977,False,-0.3123597244695177
nmi,Basic VAE,Multimodal VAE,-0.004827904761140235,-0.5969743993486466,0.5637954043616632,False,-0.3775597613505323
nmi,Conv VAE,Beta-VAE,0.01384598782317078,1.7242390018998048,0.1153816875399749,False,1.0905044952997553
nmi,Conv VAE,CVAE-Language,0.015206863886433063,2.2874762385197167,0.04520732737938821,True,1.446727001447379
nmi,Conv VAE,CVAE-Genre,0.0023722830233543664,0.2887325427083544,0.778682714000811,False,0.18261049391404832
nmi,Conv VAE,VaDE,0.006277204821292778,0.7362362968331698,0.4785017068423236,False,0.46563671881612567
nmi,Conv VAE,Multimodal VAE,0.004825398300662663,0.5048143162977387,0.6246270400281364,False,0.3192726069923027
nmi,Beta-VAE,CVAE-Language,0.001360876063262283,0.25196511951535194,0.8061708325129521,False,0.15935673371701062
nmi,Beta-VAE,CVAE-Genre,-0.011473704799816414,-1.5837794077778526,0.1443264363465069,False,-1.0016700479701217
nmi,Beta-VAE,VaDE,-0.007568783001878002,-0.9966608441524583,0.3424341305113854,False,-0.6303436644455754
nmi,Beta-VAE,Multimodal VAE,-0.009020589522508117,-1.0323790107466293,0.32621634299963387,False,-0.6529338165021594
nmi,CVAE-Language,CVAE-Genre,-0.012834580863078697,-2.2620415914726437,0.0472045287695805,True,-1.4306407182171337
nmi,CVAE-Language,VaDE,-0.008929659065140285,-1.4605241277438032,0.17484006783188472,False,-0.9237165642602276
nmi,CVAE-Language,Multimodal VAE,-0.0103814655857704,-1.3865754892015194,0.19570292321717234,False,-0.8769473387278013
nmi,CVAE-Genre,VaDE,0.003904921797938412,0.5012381452407095,0.6270527014965481,False,0.3170108378237858
nmi,CVAE-Genre,Multimodal VAE,0.0024531152773082966,0.27535533144769636,0.7886490838041036,False,0.17415000264906197
nmi,VaDE,Multimodal VAE,-0.0014518065206301153,-0.15788276658128939,0.8776917618841908,False,-0.09985382913711802
v_measure,Basic VAE,Conv VAE,-0.009653303061802898,-1.319261092619981,0.2164898937535298,False,-0.8343739762242985
v_measure,Basic VAE,Beta-VAE,0.004192684761367882,0.6755498013625006,0.5146439351946344,False,0.4272552090359643
v_measure,Basic VAE,CVAE-Language,0.005553560824630165,1.3007507034563408,0.22251842286230664,False,0.822666978197658
v_measure,Basic VAE,CVAE-Genre,-0.007281020038448532,-1.1296858207518732,0.28497765653916746,False,-0.7144760467945257
v_measure,Basic VAE,VaDE,-0.0033760982405101198,-0.4938840893131531,0.6320554948138977,False,-0.3123597244695177
v_measure,Basic VAE,Multimodal VAE,-0.004827904761140235,-0.5969743993486466,0.5637954043616632,False,-0.3775597613505323
v_measure,Conv VAE,Beta-VAE,0.01384598782317078,1.7242390018998048,0.1153816875399749,False,1.0905044952997553
v_measure,Conv VAE,CVAE-Language,0.015206863886433063,2.2874762385197167,0.04520732737938821,True,1.446727001447379
v_measure,Conv VAE,CVAE-Genre,0.0023722830233543664,0.2887325427083544,0.778682714000811,False,0.18261049391404832
v_measure,Conv VAE,VaDE,0.006277204821292778,0.7362362968331698,0.4785017068423236,False,0.46563671881612567
v_measure,Conv VAE,Multimodal VAE,0.004825398300662663,0.5048143162977387,0.6246270400281364,False,0.3192726069923027
v_measure,Beta-VAE,CVAE-Language,0.001360876063262283,0.25196511951535194,0.8061708325129521,False,0.15935673371701062
v_measure,Beta-VAE,CVAE-Genre,-0.011473704799816414,-1.5837794077778526,0.1443264363465069,False,-1.0016700479701217
v_measure,Beta-VAE,VaDE,-0.007568783001878002,-0.9966608441524583,0.3424341305113854,False,-0.6303436644455754
v_measure,Beta-VAE,Multimodal VAE,-0.009020589522508117,-1.0323790107466293,0.32621634299963387,False,-0.6529338165021594
v_measure,CVAE-Language,CVAE-Genre,-0.012834580863078697,-2.2620415914726437,0.0472045287695805,True,-1.4306407182171337
v_measure,CVAE-Language,VaDE,-0.008929659065140285,-1.4605241277438032,0.17484006783188472,False,-0.9237165642602276
v_measure,CVAE-Language,Multimodal VAE,-0.0103814655857704,-1.3865754892015194,0.19570292321717234,False,-0.8769473387278013
v_measure,CVAE-Genre,VaDE,0.003904921797938412,0.5012381452407095,0.6270527014965481,False,0.3170108378237858
v_measure,CVAE-Genre,Multimodal VAE,0.0024531152773082966,0.27535533144769636,0.7886490838041036,False,0.17415000264906197
v_measure,VaDE,Multimodal VAE,-0.0014518065206301153,-0.15788276658128939,0.8776917618841908,False,-0.09985382913711802
